Start	End	Direction	Weight
hsa:369	hsa:5894	0	1
hsa:369	hsa:673	0	1
hsa:5894	hsa:673	0	1
hsa:5604	hsa:5605	0	1
hsa:369	hsa:5604	1	2
hsa:369	hsa:5605	1	2
hsa:5894	hsa:5604	1	2
hsa:5894	hsa:5605	1	2
hsa:673	hsa:5604	1	2
hsa:673	hsa:5605	1	2
hsa:5594	hsa:5595	0	1
hsa:5604	hsa:5594	1	2
hsa:5604	hsa:5595	1	2
hsa:5605	hsa:5594	1	2
hsa:5605	hsa:5595	1	2
hsa:5594	hsa:367	0	1
hsa:5595	hsa:367	0	1
hsa:10000	hsa:207	0	1
hsa:10000	hsa:208	0	1
hsa:207	hsa:208	0	1
hsa:10000	hsa:2932	1	2
hsa:207	hsa:2932	1	2
hsa:208	hsa:2932	1	2
hsa:10000	hsa:1027	1	2
hsa:207	hsa:1027	1	2
hsa:208	hsa:1027	1	2
hsa:10000	hsa:1026	1	2
hsa:207	hsa:1026	1	2
hsa:208	hsa:1026	1	2
hsa:10000	hsa:2308	1	2
hsa:207	hsa:2308	1	2
hsa:208	hsa:2308	1	2
hsa:10000	hsa:572	1	2
hsa:207	hsa:572	1	2
hsa:208	hsa:572	1	2
hsa:10000	hsa:842	1	2
hsa:207	hsa:842	1	2
hsa:208	hsa:842	1	2
hsa:10000	hsa:2475	1	2
hsa:207	hsa:2475	1	2
hsa:208	hsa:2475	1	2
hsa:1147	hsa:3551	0	1
hsa:1147	hsa:8517	0	1
hsa:3551	hsa:8517	0	1
hsa:10000	hsa:1147	1	2
hsa:10000	hsa:3551	1	2
hsa:10000	hsa:8517	1	2
hsa:207	hsa:1147	1	2
hsa:207	hsa:3551	1	2
hsa:207	hsa:8517	1	2
hsa:208	hsa:1147	1	2
hsa:208	hsa:3551	1	2
hsa:208	hsa:8517	1	2
hsa:10000	hsa:4193	1	2
hsa:207	hsa:4193	1	2
hsa:208	hsa:4193	1	2
hsa:1027	hsa:1017	0	1
hsa:3320	hsa:3326	0	1
