Start	End	Direction	Weight
hsa:7157	hsa:51426	1	1
hsa:7157	hsa:1643	1	1
hsa:7157	hsa:578	1	1
hsa:7157	hsa:581	1	1
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:1647	hsa:4616	0	1
hsa:7157	hsa:10912	1	1
hsa:7157	hsa:1647	1	1
hsa:7157	hsa:4616	1	1
hsa:7157	hsa:1026	1	1
hsa:6774	hsa:6776	0	1
hsa:6774	hsa:6777	0	1
hsa:6776	hsa:6777	0	1
hsa:3718	hsa:6774	1	2
hsa:3718	hsa:6776	1	2
hsa:3718	hsa:6777	1	2
hsa:238	hsa:27436	0	1
hsa:238	hsa:3718	1	1
hsa:27436	hsa:3718	1	1
hsa:3265	hsa:3845	0	1
hsa:3265	hsa:4893	0	1
hsa:3845	hsa:4893	0	1
hsa:238	hsa:3265	1	2
hsa:238	hsa:3845	1	2
hsa:238	hsa:4893	1	2
hsa:27436	hsa:3265	1	2
hsa:27436	hsa:3845	1	2
hsa:27436	hsa:4893	1	2
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5293	0	1
hsa:5291	hsa:5293	0	1
hsa:238	hsa:5290	1	1
hsa:238	hsa:5291	1	1
hsa:238	hsa:5293	1	1
hsa:27436	hsa:5290	1	1
hsa:27436	hsa:5291	1	1
hsa:27436	hsa:5293	1	1
hsa:3845	hsa:83593	0	1
hsa:369	hsa:5894	0	1
hsa:369	hsa:673	0	1
hsa:5894	hsa:673	0	1
hsa:3845	hsa:369	1	2
hsa:3845	hsa:5894	1	2
hsa:3845	hsa:673	1	2
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:8503	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:8503	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:8503	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:8503	0	1
hsa:5296	hsa:8503	0	1
hsa:3845	hsa:5290	1	1
hsa:3845	hsa:5291	1	1
hsa:3845	hsa:5293	1	1
hsa:3845	hsa:5295	1	1
hsa:3845	hsa:5296	1	1
hsa:3845	hsa:8503	1	1
hsa:5604	hsa:5605	0	1
hsa:369	hsa:5604	1	2
hsa:369	hsa:5605	1	2
hsa:5894	hsa:5604	1	2
hsa:5894	hsa:5605	1	2
hsa:673	hsa:5604	1	2
hsa:673	hsa:5605	1	2
hsa:5594	hsa:5595	0	1
hsa:5604	hsa:5594	1	2
hsa:5604	hsa:5595	1	2
hsa:5605	hsa:5594	1	2
hsa:5605	hsa:5595	1	2
hsa:5594	hsa:595	1	1
hsa:5595	hsa:595	1	1
hsa:10000	hsa:207	0	1
hsa:10000	hsa:208	0	1
hsa:207	hsa:208	0	1
hsa:10000	hsa:2309	1	4
hsa:207	hsa:2309	1	4
hsa:208	hsa:2309	1	4
hsa:10000	hsa:842	1	4
hsa:207	hsa:842	1	4
hsa:208	hsa:842	1	4
hsa:10000	hsa:572	1	4
hsa:207	hsa:572	1	4
hsa:208	hsa:572	1	4
hsa:1019	hsa:1021	0	1
hsa:1029	hsa:1019	0	1
hsa:1029	hsa:1021	0	1
hsa:11186	hsa:6789	0	1
hsa:11186	hsa:595	1	1
hsa:11186	hsa:83593	0	1
hsa:6654	hsa:6655	0	1
hsa:2885	hsa:6654	1	1
hsa:2885	hsa:6655	1	1
hsa:6654	hsa:3265	1	1
hsa:6654	hsa:3845	1	1
hsa:6654	hsa:4893	1	1
hsa:6655	hsa:3265	1	1
hsa:6655	hsa:3845	1	1
hsa:6655	hsa:4893	1	1
hsa:5170	hsa:10000	1	4
hsa:5170	hsa:207	1	4
hsa:5170	hsa:208	1	4
hsa:6256	hsa:6257	0	1
hsa:6256	hsa:6258	0	1
hsa:6257	hsa:6258	0	1
hsa:5915	hsa:6256	0	1
hsa:5915	hsa:6257	0	1
hsa:5915	hsa:6258	0	1
hsa:1950	hsa:2064	1	1
hsa:1950	hsa:1956	1	1
hsa:5335	hsa:5336	0	1
hsa:2064	hsa:5335	1	2
hsa:2064	hsa:5336	1	2
hsa:2064	hsa:5290	1	1
hsa:2064	hsa:5291	1	1
hsa:2064	hsa:5293	1	1
hsa:2064	hsa:2885	1	1
hsa:595	hsa:5925	0	1
hsa:1956	hsa:5335	1	2
hsa:1956	hsa:5336	1	2
hsa:1956	hsa:5290	1	1
hsa:1956	hsa:5291	1	1
hsa:1956	hsa:5293	1	1
hsa:1956	hsa:2885	1	1
hsa:7039	hsa:2064	1	1
hsa:7039	hsa:1956	1	1
hsa:3265	hsa:369	1	1
hsa:3265	hsa:5894	1	1
hsa:3265	hsa:673	1	1
hsa:4893	hsa:369	1	1
hsa:4893	hsa:5894	1	1
hsa:4893	hsa:673	1	1
hsa:1869	hsa:1870	0	1
hsa:1869	hsa:1871	0	1
hsa:1870	hsa:1871	0	1
hsa:1869	hsa:5925	0	1
hsa:1870	hsa:5925	0	1
hsa:1871	hsa:5925	0	1
hsa:1019	hsa:595	0	1
hsa:1021	hsa:595	0	1
hsa:5578	hsa:5579	0	1
hsa:5578	hsa:5582	0	1
hsa:5579	hsa:5582	0	1
hsa:5578	hsa:369	1	1
hsa:5578	hsa:5894	1	1
hsa:5578	hsa:673	1	1
hsa:5579	hsa:369	1	1
hsa:5579	hsa:5894	1	1
hsa:5579	hsa:673	1	1
hsa:5582	hsa:369	1	1
hsa:5582	hsa:5894	1	1
hsa:5582	hsa:673	1	1
