Start	End	Direction	Weight
hsa:7157	hsa:51426	1	2
hsa:7157	hsa:1643	1	2
hsa:7157	hsa:578	1	2
hsa:7157	hsa:581	1	2
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:1647	hsa:4616	0	1
hsa:7157	hsa:10912	1	2
hsa:7157	hsa:1647	1	2
hsa:7157	hsa:4616	1	2
hsa:7157	hsa:1026	1	2
hsa:369	hsa:5894	0	1
hsa:369	hsa:673	0	1
hsa:5894	hsa:673	0	1
hsa:3845	hsa:369	1	2
hsa:3845	hsa:5894	1	2
hsa:3845	hsa:673	1	2
hsa:5604	hsa:5605	0	1
hsa:369	hsa:5604	1	2
hsa:369	hsa:5605	1	2
hsa:5894	hsa:5604	1	2
hsa:5894	hsa:5605	1	2
hsa:673	hsa:5604	1	2
hsa:673	hsa:5605	1	2
hsa:5594	hsa:5595	0	1
hsa:5604	hsa:5594	1	2
hsa:5604	hsa:5595	1	2
hsa:5605	hsa:5594	1	2
hsa:5605	hsa:5595	1	2
hsa:5594	hsa:2002	1	2
hsa:5595	hsa:2002	1	2
hsa:1950	hsa:1956	1	1
hsa:10000	hsa:207	0	1
hsa:10000	hsa:208	0	1
hsa:207	hsa:208	0	1
hsa:10000	hsa:2309	1	2
hsa:207	hsa:2309	1	2
hsa:208	hsa:2309	1	2
hsa:10000	hsa:572	1	2
hsa:207	hsa:572	1	2
hsa:208	hsa:572	1	2
hsa:10000	hsa:842	1	2
hsa:207	hsa:842	1	2
hsa:208	hsa:842	1	2
hsa:1956	hsa:2885	1	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:8503	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:8503	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:8503	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:8503	0	1
hsa:5296	hsa:8503	0	1
hsa:1956	hsa:5290	1	1
hsa:1956	hsa:5291	1	1
hsa:1956	hsa:5293	1	1
hsa:1956	hsa:5295	1	1
hsa:1956	hsa:5296	1	1
hsa:1956	hsa:8503	1	1
hsa:6654	hsa:6655	0	1
hsa:2885	hsa:6654	1	1
hsa:2885	hsa:6655	1	1
hsa:3265	hsa:3845	0	1
hsa:3265	hsa:4893	0	1
hsa:3845	hsa:4893	0	1
hsa:6654	hsa:3265	1	1
hsa:6654	hsa:3845	1	1
hsa:6654	hsa:4893	1	1
hsa:6655	hsa:3265	1	1
hsa:6655	hsa:3845	1	1
hsa:6655	hsa:4893	1	1
hsa:5170	hsa:10000	1	2
hsa:5170	hsa:207	1	2
hsa:5170	hsa:208	1	2
hsa:51176	hsa:6932	0	1
hsa:51176	hsa:6934	0	1
hsa:51176	hsa:83439	0	1
hsa:6932	hsa:6934	0	1
hsa:6932	hsa:83439	0	1
hsa:6934	hsa:83439	0	1
hsa:51176	hsa:595	1	1
hsa:6932	hsa:595	1	1
hsa:6934	hsa:595	1	1
hsa:83439	hsa:595	1	1
hsa:51176	hsa:4609	1	1
hsa:6932	hsa:4609	1	1
hsa:6934	hsa:4609	1	1
hsa:83439	hsa:4609	1	1
hsa:3611	hsa:10000	1	2
hsa:3611	hsa:207	1	2
hsa:3611	hsa:208	1	2
hsa:2932	hsa:1499	0	1
hsa:8312	hsa:8313	0	1
hsa:8312	hsa:2932	0	1
hsa:8313	hsa:2932	0	1
hsa:10297	hsa:324	0	1
hsa:10297	hsa:8312	0	1
hsa:10297	hsa:8313	0	1
hsa:324	hsa:8312	0	1
hsa:324	hsa:8313	0	1
hsa:3265	hsa:369	1	1
hsa:3265	hsa:5894	1	1
hsa:3265	hsa:673	1	1
hsa:4893	hsa:369	1	1
hsa:4893	hsa:5894	1	1
hsa:4893	hsa:673	1	1
hsa:1499	hsa:51176	1	1
hsa:1499	hsa:6932	1	1
hsa:1499	hsa:6934	1	1
hsa:1499	hsa:83439	1	1
